feature_name,source_dataset,source_file,source_column,data_type,time_granularity,cow_identifier,date_identifier,transformation_required,leakage_risk,notes
coord_y_cm,T02,sensor_data\main_data\uwb\T02\T02_0721.csv,coord_y_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
coord_z_cm,T02,sensor_data\main_data\uwb\T02\T02_0721.csv,coord_z_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
coord_x_cm,T03,sensor_data\main_data\uwb\T03\T03_0721.csv,coord_x_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
coord_y_cm,T03,sensor_data\main_data\uwb\T03\T03_0721.csv,coord_y_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
coord_z_cm,T03,sensor_data\main_data\uwb\T03\T03_0721.csv,coord_z_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
coord_x_cm,T04,sensor_data\main_data\uwb\T04\T04_0721.csv,coord_x_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
coord_y_cm,T04,sensor_data\main_data\uwb\T04\T04_0721.csv,coord_y_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
coord_z_cm,T04,sensor_data\main_data\uwb\T04\T04_0721.csv,coord_z_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
coord_x_cm,T05,sensor_data\main_data\uwb\T05\T05_0721.csv,coord_x_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
coord_y_cm,T05,sensor_data\main_data\uwb\T05\T05_0721.csv,coord_y_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
coord_z_cm,T05,sensor_data\main_data\uwb\T05\T05_0721.csv,coord_z_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
coord_x_cm,T06,sensor_data\main_data\uwb\T06\T06_0721.csv,coord_x_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
coord_y_cm,T06,sensor_data\main_data\uwb\T06\T06_0721.csv,coord_y_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
coord_z_cm,T06,sensor_data\main_data\uwb\T06\T06_0721.csv,coord_z_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
coord_x_cm,T07,sensor_data\main_data\uwb\T07\T07_0721.csv,coord_x_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
coord_y_cm,T07,sensor_data\main_data\uwb\T07\T07_0721.csv,coord_y_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
coord_z_cm,T07,sensor_data\main_data\uwb\T07\T07_0721.csv,coord_z_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
coord_x_cm,T08,sensor_data\main_data\uwb\T08\T08_0721.csv,coord_x_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
coord_y_cm,T08,sensor_data\main_data\uwb\T08\T08_0721.csv,coord_y_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
coord_z_cm,T08,sensor_data\main_data\uwb\T08\T08_0721.csv,coord_z_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
coord_x_cm,T09,sensor_data\main_data\uwb\T09\T09_0721.csv,coord_x_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
coord_y_cm,T09,sensor_data\main_data\uwb\T09\T09_0721.csv,coord_y_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
coord_z_cm,T09,sensor_data\main_data\uwb\T09\T09_0721.csv,coord_z_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
coord_x_cm,T10,sensor_data\main_data\uwb\T10\T10_0721.csv,coord_x_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
coord_y_cm,T10,sensor_data\main_data\uwb\T10\T10_0721.csv,coord_y_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
coord_z_cm,T10,sensor_data\main_data\uwb\T10\T10_0721.csv,coord_z_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
coord_x_cm,T13,sensor_data\main_data\uwb\T13\T13_0721.csv,coord_x_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
coord_y_cm,T13,sensor_data\main_data\uwb\T13\T13_0721.csv,coord_y_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
coord_z_cm,T13,sensor_data\main_data\uwb\T13\T13_0721.csv,coord_z_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
coord_x_cm,T14,sensor_data\main_data\uwb\T14\T14_0721.csv,coord_x_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
coord_y_cm,T14,sensor_data\main_data\uwb\T14\T14_0721.csv,coord_y_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
coord_z_cm,T14,sensor_data\main_data\uwb\T14\T14_0721.csv,coord_z_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
Temperature,weather,sensor_data\main_data\weather\07_21_2023.xlsx,Temperature,str,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
Dew Point,weather,sensor_data\main_data\weather\07_21_2023.xlsx,Dew Point,str,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
Humidity,weather,sensor_data\main_data\weather\07_21_2023.xlsx,Humidity,str,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
Wind,weather,sensor_data\main_data\weather\07_21_2023.xlsx,Wind,str,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
Speed,weather,sensor_data\main_data\weather\07_21_2023.xlsx,Speed,str,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
Gust,weather,sensor_data\main_data\weather\07_21_2023.xlsx,Gust,str,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
Pressure,weather,sensor_data\main_data\weather\07_21_2023.xlsx,Pressure,str,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
Precip. Rate.,weather,sensor_data\main_data\weather\07_21_2023.xlsx,Precip. Rate.,str,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
Precip. Accum.,weather,sensor_data\main_data\weather\07_21_2023.xlsx,Precip. Accum.,str,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
UV,weather,sensor_data\main_data\weather\07_21_2023.xlsx,UV,int64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
Solar,weather,sensor_data\main_data\weather\07_21_2023.xlsx,Solar,str,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_x,ankle_accel,sensor_data\sub_data\ankle_accel\C01.csv,accel_x,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_y,ankle_accel,sensor_data\sub_data\ankle_accel\C01.csv,accel_y,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_z,ankle_accel,sensor_data\sub_data\ankle_accel\C01.csv,accel_z,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
roll,T01,sensor_data\sub_data\head_direction\T01\T01_0721.csv,roll,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
pitch,T01,sensor_data\sub_data\head_direction\T01\T01_0721.csv,pitch,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
yaw,T01,sensor_data\sub_data\head_direction\T01\T01_0721.csv,yaw,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_norm,T01,sensor_data\sub_data\head_direction\T01\T01_0721.csv,accel_norm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
relative_angle,T01,sensor_data\sub_data\head_direction\T01\T01_0721.csv,relative_angle,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
roll,T02,sensor_data\sub_data\head_direction\T02\T02_0721.csv,roll,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
pitch,T02,sensor_data\sub_data\head_direction\T02\T02_0721.csv,pitch,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
yaw,T02,sensor_data\sub_data\head_direction\T02\T02_0721.csv,yaw,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_norm,T02,sensor_data\sub_data\head_direction\T02\T02_0721.csv,accel_norm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
relative_angle,T02,sensor_data\sub_data\head_direction\T02\T02_0721.csv,relative_angle,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
roll,T03,sensor_data\sub_data\head_direction\T03\T03_0721.csv,roll,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
pitch,T03,sensor_data\sub_data\head_direction\T03\T03_0721.csv,pitch,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
yaw,T03,sensor_data\sub_data\head_direction\T03\T03_0721.csv,yaw,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_norm,T03,sensor_data\sub_data\head_direction\T03\T03_0721.csv,accel_norm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
relative_angle,T03,sensor_data\sub_data\head_direction\T03\T03_0721.csv,relative_angle,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
roll,T04,sensor_data\sub_data\head_direction\T04\T04_0721.csv,roll,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
pitch,T04,sensor_data\sub_data\head_direction\T04\T04_0721.csv,pitch,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
yaw,T04,sensor_data\sub_data\head_direction\T04\T04_0721.csv,yaw,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_norm,T04,sensor_data\sub_data\head_direction\T04\T04_0721.csv,accel_norm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
relative_angle,T04,sensor_data\sub_data\head_direction\T04\T04_0721.csv,relative_angle,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
roll,T05,sensor_data\sub_data\head_direction\T05\T05_0721.csv,roll,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
pitch,T05,sensor_data\sub_data\head_direction\T05\T05_0721.csv,pitch,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
yaw,T05,sensor_data\sub_data\head_direction\T05\T05_0721.csv,yaw,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_norm,T05,sensor_data\sub_data\head_direction\T05\T05_0721.csv,accel_norm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
relative_angle,T05,sensor_data\sub_data\head_direction\T05\T05_0721.csv,relative_angle,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
roll,T06,sensor_data\sub_data\head_direction\T06\T06_0721.csv,roll,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
pitch,T06,sensor_data\sub_data\head_direction\T06\T06_0721.csv,pitch,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
yaw,T06,sensor_data\sub_data\head_direction\T06\T06_0721.csv,yaw,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_norm,T06,sensor_data\sub_data\head_direction\T06\T06_0721.csv,accel_norm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
relative_angle,T06,sensor_data\sub_data\head_direction\T06\T06_0721.csv,relative_angle,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
roll,T07,sensor_data\sub_data\head_direction\T07\T07_0721.csv,roll,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
pitch,T07,sensor_data\sub_data\head_direction\T07\T07_0721.csv,pitch,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
yaw,T07,sensor_data\sub_data\head_direction\T07\T07_0721.csv,yaw,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_norm,T07,sensor_data\sub_data\head_direction\T07\T07_0721.csv,accel_norm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
relative_angle,T07,sensor_data\sub_data\head_direction\T07\T07_0721.csv,relative_angle,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
roll,T08,sensor_data\sub_data\head_direction\T08\T08_0721.csv,roll,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
pitch,T08,sensor_data\sub_data\head_direction\T08\T08_0721.csv,pitch,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
yaw,T08,sensor_data\sub_data\head_direction\T08\T08_0721.csv,yaw,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_norm,T08,sensor_data\sub_data\head_direction\T08\T08_0721.csv,accel_norm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
relative_angle,T08,sensor_data\sub_data\head_direction\T08\T08_0721.csv,relative_angle,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
roll,T09,sensor_data\sub_data\head_direction\T09\T09_0721.csv,roll,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
pitch,T09,sensor_data\sub_data\head_direction\T09\T09_0721.csv,pitch,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
yaw,T09,sensor_data\sub_data\head_direction\T09\T09_0721.csv,yaw,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_norm,T09,sensor_data\sub_data\head_direction\T09\T09_0721.csv,accel_norm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
relative_angle,T09,sensor_data\sub_data\head_direction\T09\T09_0721.csv,relative_angle,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
roll,T10,sensor_data\sub_data\head_direction\T10\T10_0721.csv,roll,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
pitch,T10,sensor_data\sub_data\head_direction\T10\T10_0721.csv,pitch,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
yaw,T10,sensor_data\sub_data\head_direction\T10\T10_0721.csv,yaw,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_norm,T10,sensor_data\sub_data\head_direction\T10\T10_0721.csv,accel_norm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
relative_angle,T10,sensor_data\sub_data\head_direction\T10\T10_0721.csv,relative_angle,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
roll,T13,sensor_data\sub_data\head_direction\T13\T13_0721.csv,roll,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
pitch,T13,sensor_data\sub_data\head_direction\T13\T13_0721.csv,pitch,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
yaw,T13,sensor_data\sub_data\head_direction\T13\T13_0721.csv,yaw,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_norm,T13,sensor_data\sub_data\head_direction\T13\T13_0721.csv,accel_norm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
relative_angle,T13,sensor_data\sub_data\head_direction\T13\T13_0721.csv,relative_angle,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
roll,T14,sensor_data\sub_data\head_direction\T14\T14_0721.csv,roll,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
pitch,T14,sensor_data\sub_data\head_direction\T14\T14_0721.csv,pitch,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
yaw,T14,sensor_data\sub_data\head_direction\T14\T14_0721.csv,yaw,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_norm,T14,sensor_data\sub_data\head_direction\T14\T14_0721.csv,accel_norm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
relative_angle,T14,sensor_data\sub_data\head_direction\T14\T14_0721.csv,relative_angle,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
Event,health_records,sensor_data\sub_data\health_records\C01.csv,Event,str,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
Specific event,health_records,sensor_data\sub_data\health_records\C01.csv,Specific event,str,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
Description,health_records,sensor_data\sub_data\health_records\C01.csv,Description,str,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
temperature_C,neck_dev_temp,sensor_data\sub_data\neck_dev_temp\T01.csv,temperature_C,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
anchor_id,T01,sensor_data\sub_data\uwb_distance\T01\T01_0721.csv,anchor_id,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
distance_m,T01,sensor_data\sub_data\uwb_distance\T01\T01_0721.csv,distance_m,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
n_samples,T01,sensor_data\sub_data\uwb_distance\T01\T01_0721.csv,n_samples,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
LOS_probability,T01,sensor_data\sub_data\uwb_distance\T01\T01_0721.csv,LOS_probability,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
RSSI_dBm,T01,sensor_data\sub_data\uwb_distance\T01\T01_0721.csv,RSSI_dBm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
anchor_id,T02,sensor_data\sub_data\uwb_distance\T02\T02_0721.csv,anchor_id,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
distance_m,T02,sensor_data\sub_data\uwb_distance\T02\T02_0721.csv,distance_m,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
n_samples,T02,sensor_data\sub_data\uwb_distance\T02\T02_0721.csv,n_samples,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
LOS_probability,T02,sensor_data\sub_data\uwb_distance\T02\T02_0721.csv,LOS_probability,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
RSSI_dBm,T02,sensor_data\sub_data\uwb_distance\T02\T02_0721.csv,RSSI_dBm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
anchor_id,T03,sensor_data\sub_data\uwb_distance\T03\T03_0721.csv,anchor_id,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
distance_m,T03,sensor_data\sub_data\uwb_distance\T03\T03_0721.csv,distance_m,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
n_samples,T03,sensor_data\sub_data\uwb_distance\T03\T03_0721.csv,n_samples,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
LOS_probability,T03,sensor_data\sub_data\uwb_distance\T03\T03_0721.csv,LOS_probability,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
RSSI_dBm,T03,sensor_data\sub_data\uwb_distance\T03\T03_0721.csv,RSSI_dBm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
anchor_id,T04,sensor_data\sub_data\uwb_distance\T04\T04_0721.csv,anchor_id,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
distance_m,T04,sensor_data\sub_data\uwb_distance\T04\T04_0721.csv,distance_m,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
n_samples,T04,sensor_data\sub_data\uwb_distance\T04\T04_0721.csv,n_samples,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
LOS_probability,T04,sensor_data\sub_data\uwb_distance\T04\T04_0721.csv,LOS_probability,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
RSSI_dBm,T04,sensor_data\sub_data\uwb_distance\T04\T04_0721.csv,RSSI_dBm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
anchor_id,T05,sensor_data\sub_data\uwb_distance\T05\T05_0721.csv,anchor_id,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
distance_m,T05,sensor_data\sub_data\uwb_distance\T05\T05_0721.csv,distance_m,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
n_samples,T05,sensor_data\sub_data\uwb_distance\T05\T05_0721.csv,n_samples,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
LOS_probability,T05,sensor_data\sub_data\uwb_distance\T05\T05_0721.csv,LOS_probability,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
RSSI_dBm,T05,sensor_data\sub_data\uwb_distance\T05\T05_0721.csv,RSSI_dBm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
anchor_id,T06,sensor_data\sub_data\uwb_distance\T06\T06_0721.csv,anchor_id,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
distance_m,T06,sensor_data\sub_data\uwb_distance\T06\T06_0721.csv,distance_m,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
n_samples,T06,sensor_data\sub_data\uwb_distance\T06\T06_0721.csv,n_samples,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
LOS_probability,T06,sensor_data\sub_data\uwb_distance\T06\T06_0721.csv,LOS_probability,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
RSSI_dBm,T06,sensor_data\sub_data\uwb_distance\T06\T06_0721.csv,RSSI_dBm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
anchor_id,T07,sensor_data\sub_data\uwb_distance\T07\T07_0721.csv,anchor_id,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
distance_m,T07,sensor_data\sub_data\uwb_distance\T07\T07_0721.csv,distance_m,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
n_samples,T07,sensor_data\sub_data\uwb_distance\T07\T07_0721.csv,n_samples,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
LOS_probability,T07,sensor_data\sub_data\uwb_distance\T07\T07_0721.csv,LOS_probability,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
RSSI_dBm,T07,sensor_data\sub_data\uwb_distance\T07\T07_0721.csv,RSSI_dBm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
anchor_id,T08,sensor_data\sub_data\uwb_distance\T08\T08_0721.csv,anchor_id,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
distance_m,T08,sensor_data\sub_data\uwb_distance\T08\T08_0721.csv,distance_m,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
n_samples,T08,sensor_data\sub_data\uwb_distance\T08\T08_0721.csv,n_samples,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
LOS_probability,T08,sensor_data\sub_data\uwb_distance\T08\T08_0721.csv,LOS_probability,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
RSSI_dBm,T08,sensor_data\sub_data\uwb_distance\T08\T08_0721.csv,RSSI_dBm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
anchor_id,T09,sensor_data\sub_data\uwb_distance\T09\T09_0721.csv,anchor_id,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
distance_m,T09,sensor_data\sub_data\uwb_distance\T09\T09_0721.csv,distance_m,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
n_samples,T09,sensor_data\sub_data\uwb_distance\T09\T09_0721.csv,n_samples,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
LOS_probability,T09,sensor_data\sub_data\uwb_distance\T09\T09_0721.csv,LOS_probability,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
RSSI_dBm,T09,sensor_data\sub_data\uwb_distance\T09\T09_0721.csv,RSSI_dBm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
